"","synthetic_data","noise","type"
"1",FALSE,1000,6
"2",TRUE,0,1
"3",TRUE,0,1
"4",FALSE,1,3
"5",FALSE,10,4
"6",FALSE,10,4
"7",FALSE,10,4
"8",FALSE,100,5
"9",FALSE,10000,7
"10",FALSE,100,5
"11",FALSE,1,3
"12",TRUE,0,1
"13",FALSE,0,2
"14",FALSE,10,4
"15",FALSE,10,4
"16",FALSE,100,5
"17",FALSE,10000,7
"18",FALSE,1000,6
"19",FALSE,10000,7
"20",FALSE,1,3
"21",TRUE,0,1
"22",FALSE,0,2
"23",TRUE,0,1
"24",FALSE,1000,6
"25",FALSE,1,3
"26",FALSE,10000,7
"27",FALSE,1000,6
"28",FALSE,1000,6
"29",FALSE,10000,7
"30",FALSE,0,2
"31",FALSE,100,5
"32",FALSE,0,2
"33",FALSE,100,5
"34",FALSE,0,2
"35",FALSE,1,3
